Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Maintenance Facility (Service and Inspection),Heavy Maintenance & Overhaul (Backshop),General Purpose Maintenance Facility/Depot,Vehicle Washing Facility,Vehicle Blow-Down Facility,Vehicle Fueling Facility,Vehicle Testing Facility,Maintenance Facilities,Administrative Office / Sales Office,Revenue Collection Facility,Combined Administrative and Maintenance Facility,"Other, Administrative & Maintenance",Administrative and Other Non-Passenger Facilities,Bus Transfer Center,Elevated Fixed Guideway Station,At-Grade Fixed Guideway Station,Underground Fixed Guideway Station,Simple At-Grade Platform Station,Exclusive Grade-Separated Platform Station,Ferryboat Terminal,Passenger Stations and Terminals,Surface Parking Lot,Parking Structure,"Other, Passenger or Parking",Parking and Other Passenger Facilities,Total Facilities
Municipality of Patillas,Patillas,PR,44976,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
City of  Ottawa,Ottawa,IL,50219,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bond County,Greenville,IL,50221,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CRIS Rural Mass Transit District,Danville,IL,50223,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,19,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"City of Macomb, dba: McDonough County Public Transportation",Macomb,IL,50232,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,30,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Carroll County,Mount Carroll,IL,50234,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,14,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Rock Island County,Rock Island,IL,50237,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,11,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Lee County, dba: Lee-Ogle Transportation System",Dixon,IL,50250,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Macoupin County, dba: Macoupin County Public Transportation",Carlinville,IL,50252,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,45,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Grundy County,Morris,IL,50253,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Quincy,Quincy,IL,50258,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,17,1,0,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
"Bureau County, dba: Bureau Putnam Area Rural Transit",Princeton,IL,50263,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Champaign County,Urbana,IL,50269,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Warren County,Monmouth,IL,50283,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Henry County,Cambridge,IL,50301,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,16,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Fulton County, dba: FCRT",Lewistown,IL,50304,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Shawnee Mass Transit District,Vienna,IL,50315,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,42,1,0,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
South Central Illinois Mass Transit District,Centralia,IL,50327,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,104,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kankakee County,Kankakee,IL,50328,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,10,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Woodford County,Eureka,IL,50329,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,9,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
McLean County,Bloomington,IL,50338,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Monroe Randolph Transit District,Sparta,IL,50339,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Effingham County,Effingham,IL,50345,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,12,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Kendall County, dba: Kendall Area Transit",Yorkville,IL,50352,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Jo Daviess County, dba: Jo Daviess County Transit",Galena,IL,50364,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Hancock County,Carthage,IL,50385,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Logan County,Lincoln,IL,50411,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Freeport,Freeport,IL,50412,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
West Central Mass Transit District,Jacksonville,IL,50414,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,32,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Tazewell County,Pekin,IL,50420,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Piatt County,Monticello,IL,50425,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Coles County, dba: Coles County Council on Aging",Charleston,IL,50447,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Whiteside County,Morrison,IL,50458,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,14,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Shelby County,Shelbyville,IL,50496,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Galesburg,Galesburg,IL,50502,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Sangamon County,Springfield,IL,55307,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Marshall County,Lacon,IL,55313,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,10,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Douglas County (Illinois), dba: Coles County Council on Aging",Charleston,IL,55315,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Jersey County,Jerseyville,IL,55316,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Miller Transportation Bus Services, Inc.",Indianapolis,IN,40469,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Boone County Senior Services, dba: Boone Area Transit System",Lebanon,IN,50230,Private-Non-Profit Corporation,Rural Reporter,,,,12,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Marshall County Council on Aging , dba: Marshall County Rural Transit",Plymouth,IN,50246,Private-Non-Profit Corporation,Rural Reporter,,,,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Steuben County Council on Aging, dba: Steuben County Public Transit",Angola,IN,50248,Private-Non-Profit Corporation,Rural Reporter,,,,4,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"City of Richmond, dba: RoseView Transit",Richmond,IN,50249,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Madison County Council of Governments, dba: Transportation for Rural Areas of Madison County",Anderson,IN,50272,"MPO, COG or Other Planning Agency",Rural Reporter,,,,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Four Rivers Resource Services, dba: Ride Solution",Loogootee,IN,50276,Private-Non-Profit Corporation,Rural Reporter,,,,48,0,0,1,0,0,0,0,1,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8
"Rush County Senior Services , dba: Ride Rush Public Transit",Rushville,IN,50280,Private-Non-Profit Corporation,Rural Reporter,,,,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cass County Council on Aging , dba: Cass Area Transit",Logansport,IN,50281,Private-Non-Profit Corporation,Rural Reporter,,,,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cardinal Services , dba: Kosciusko Area Bus Service",Warsaw,IN,50289,Private-Non-Profit Corporation,Rural Reporter,,,,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Washington, dba: Washington Transit System",Washington,IN,50302,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"LaGrange County Council on Aging , dba: LaGrange County Area Transit",Lagrange,IN,50305,Private-Non-Profit Corporation,Rural Reporter,,,,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"LifeStream Services , dba: The New Interurban",Yorktown,IN,50307,Private-Non-Profit Corporation,Rural Reporter,,,,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Area 10 Council on Aging of Monroe County, dba: Rural Transit",Ellettsville,IN,50308,Area Agency on Aging,Rural Reporter,,,,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"LifeTime Resources , dba: Catch-a-Ride",Dillsboro,IN,50324,Private-Non-Profit Corporation,Rural Reporter,,,,20,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"DeKalb County Council on Aging , dba: Dekalb Area Rural Transit",Auburn,IN,50330,Private-Non-Profit Corporation,Rural Reporter,,,,7,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Blue River Services , dba: Southern Indiana Transit System",Corydon,IN,50347,Private-Non-Profit Corporation,Rural Reporter,,,,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Huntingburg, dba: Huntingburg Transit System",Huntingburg,IN,50354,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"City of New Castle, dba: New Castle Transit",New Castle,IN,50358,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Huntington County Council on Aging , dba: Huntington Area Transportation Service",Huntington,IN,50361,Private-Non-Profit Corporation,Rural Reporter,,,,15,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Area IV Agency on Aging and Community Action Programs , dba: Tippecanoe County Transit",Lafayette,IN,50365,Area Agency on Aging,Rural Reporter,,,,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Union County Council on Aging , dba: Union County Transit",Liberty,IN,50387,Private-Non-Profit Corporation,Rural Reporter,,,,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Orange County First Chance Center , dba: Orange County Transit",Paoli,IN,50389,Private-Non-Profit Corporation,Rural Reporter,,,,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"YMCA of Vincennes , dba: VanGo",Vincennes,IN,50392,Private-Non-Profit Corporation,Rural Reporter,,,,15,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"Fayette County Council Agency on Aging and Aged, dba: Fayette County Public Transit",Connersville,IN,50399,Area Agency on Aging,Rural Reporter,,,,9,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
"Wells County Council on Aging , dba: Wells on Wheels",Bluffton,IN,50403,Private-Non-Profit Corporation,Rural Reporter,,,,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Bedford, dba: Transit Authority of Stone City",Bedford,IN,50407,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Noble County Council on Aging , dba: Noble Transit System",Albion,IN,50422,Private-Non-Profit Corporation,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Living Wells in Wabash County Council on Aging , dba: Wabash County Transit",Wabash,IN,50441,Private-Non-Profit Corporation,Rural Reporter,,,,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"White County Council on Aging , dba: White County Public Transit",Monticello,IN,50444,Private-Non-Profit Corporation,Rural Reporter,,,,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Miami County YMCA , dba: YMCA - Miami County Public Transit",Peru,IN,50454,Private-Non-Profit Corporation,Rural Reporter,,,,11,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Whitley County Council on Aging , dba: Whitley County Transit",Columbia City,IN,50468,Private-Non-Profit Corporation,Rural Reporter,,,,8,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Franklin County Senior Services , dba: Franklin County Public Transit",Brookville,IN,50483,Private-Non-Profit Corporation,Rural Reporter,,,,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Fulton County Council on Aging , dba: Fulton County Public Transit",Rochester,IN,50484,Private-Non-Profit Corporation,Rural Reporter,,,,8,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"City of Marion , dba: Marion Transit System",Marion,IN,50485,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
West Central Indiana Economic Development District,Terre Haute,IN,50493,"MPO, COG or Other Planning Agency",Rural Reporter,,,,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Paul Philippe Resource Center  , dba: Clinton County Transit",Frankfort,IN,50499,Private-Non-Profit Corporation,Rural Reporter,,,,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Seymour, dba: Seymour Public Transit",Seymour,IN,50501,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barons Bus INC,Brookpark,OH,55309,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Kankakee-Iroquois Regional Planning Commission,Monon,IN,55310,"MPO, COG or Other Planning Agency",Rural Reporter,,,,18,0,0,1,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5
"Shelby Senior Services , dba: ShelbyGo Public Transit",Shelbyville,IN,55664,Private-Non-Profit Corporation,Rural Reporter,,,,4,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Brown County YMCA, dba: ACCESS Brown County Public Transit",Nashville,IN,55665,Private-Non-Profit Corporation,Rural Reporter,,,,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Greyhound Lines, Inc.",Dallas,TX,60208,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Burlington Stage Lines,West Burlington,IA,70116,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Miller Transportation, Inc.",Louisville,KY,44981,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Baron's Bus Inc.,Brookpark,OH,50188,Private-For-Profit Corporation,Rural Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Iosco Transit Corporation,East Tawas,MI,50217,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Caro Transit Authority,Caro,MI,50224,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,15,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Arenac County,Standish,MI,50225,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Shiawassee Area Transportation Agency,Owosso,MI,50227,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Thunderbay Transportation Authority,Alpena,MI,50233,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,23,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Schoolcraft Transit Authority,Manistique,MI,50240,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern Upper Peninsula Transportation Authority,Sault Sainte Marie,MI,50241,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6
Roscommon County Transportation Authority,Prudenville,MI,50242,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,24,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Isabella County Transportation Commission,Mt. Pleasant,MI,50244,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,39,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Eaton County Transportation Authority,Charlotte,MI,50260,Independent Public Agency or Authority of Transit Service,Rural Reporter,47719,"Lansing, MI","300,032",24,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"Marshall, City of",Marshall,MI,50265,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Hillsdale Dial-A-Ride,Hillsdale,MI,50268,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kalkaska Public Transit Authority,Kalkaska,MI,50282,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,18,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Straits Regional Ride,Cheboygan,MI,50285,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,12,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Cass County Transportation Authority,Cassopolis,MI,50310,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,10,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Charlevoix County Public Transportation,Boyne City,MI,50313,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Clinton Area Transit System,St. Johns,MI,50314,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,24,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Adrian Dial-A-Ride,Adrian,MI,50323,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Greater Lapeer Transportation Authority,Lapeer,MI,50335,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Branch Area Transit Authority,Coldwater,MI,50337,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Otsego County Board of Commissioners,Gaylord,MI,50340,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ogemaw County Public Transportation,West Branch,MI,50344,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Sanilac County Board of Commissioners,Sandusky,MI,50346,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Barry County Transit,Hastings,MI,50355,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Delta Area Transit Authority,Escanaba,MI,50356,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Manistee County Transportation, Inc.",Manistee,MI,50369,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,24,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Huron Transit Corporation,Bad Axe,MI,50370,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,46,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ontonagon County Public Transit,Ontonagon,MI,50371,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Cadillac/Wexford Transit Authority,Cadillac,MI,50374,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,27,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Van Buren Public Transit,Bangor,MI,50383,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,16,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Houghton Motor Transit Line,Houghton,MI,50386,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gladwin City/County Transit,Gladwin,MI,50395,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,18,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Belding-Dial-A-Ride,Belding,MI,50398,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Greenville Transit,Greenville,MI,50404,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hancock, City of",Hancock,MI,50408,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bay Area Transportation Authority,Traverse City,MI,50413,Independent Public Agency or Authority of Transit Service,Rural Reporter,88300,"Traverse City--Garfield, MI","56,890",76,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
