Agency,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees
Metropolitan Atlanta Rapid Transit Authority,4060,52954911,2128687.0,949.0,2553.04,1849221.0,1341057.0,0.0,4357955.0,0.0,0.0,78232957.0,26212.0,7548233.0,78259169.0,40022.0,Atlanta,GA,"Atlanta, GA",,
Metropolitan Bus Authority,214,2901739,1176968.0,198.0,763.6,900501.0,70805.0,0.0,0.0,0.0,0.0,0.0,0.0,971306.0,0.0,40086.0,San Juan,PR,"San Juan, PR",,556.0
Metropolitan Council,1968,32859280,2849712.0,2975.0,1014.79,0.0,4173604.0,0.0,0.0,366405.0,0.0,0.0,0.0,4540009.0,0.0,,,,,,
"Metropolitan Evansville Transit System, dba: METS",52,1262911,118930.0,45.0,112.75,210120.0,24116.0,0.0,0.0,0.0,0.0,0.0,0.0,234236.0,0.0,50043.0,Evansville,IN,"Evansville, IN",,88.99
Metropolitan Transit Authority,717,8850567,703953.0,504.0,584.95,,,,,,,,,,,40004.0,Madison,TN,"Nashville-Davidson, TN",,759.03
Metropolitan Transit Authority of Black Hawk County,54,0,108519.0,51.0,63.71,,,,,,,,,,,,,,,,
"Metropolitan Transit Authority of Harris County, Texas",10624,67451697,3757692.0,1309.0,1752.69,9097510.0,2409822.0,0.0,2154980.0,0.0,0.0,21545505.0,0.0,13662312.0,21545505.0,60008.0,Houston,TX,"Houston, TX",,
Metropolitan Transportation Commission,442,10312776,7100000.0,6900.0,513.8,,,,,,,,,,,,,,,,
Metropolitan Tulsa Transit Authority,234,3810773,504533.0,251.0,338.32,38990.0,22098.0,0.0,718122.0,0.0,0.0,0.0,17732.0,779210.0,17732.0,60018.0,Tulsa,OK,"Tulsa, OK",,194.0
"Miami County YMCA , dba: YMCA - Miami County Public Transit",11,0,,,,,,,,,,,,,,,,,,,
"Miami County, Ohio , dba: Miami County Public Transit",18,486218,109264.0,410.0,319.89,0.0,60225.0,0.0,0.0,0.0,0.0,0.0,0.0,60225.0,0.0,,,,,,
Michiana Area Council of Governments,36,922777,142692.0,90.0,94.94,97511.0,19117.0,0.0,0.0,0.0,0.0,0.0,0.0,116628.0,0.0,,,,,,
"Michigan Department of Transportation, dba: MichiVan",166,2831058,10041771.0,2562.0,1284.83,0.0,118291.0,0.0,0.0,0.0,0.0,0.0,0.0,118291.0,0.0,,,,,,
Mid Mon Valley Transit Authority,22,885290,79666.0,44.0,906.64,38481.0,0.0,0.0,186290.0,0.0,0.0,0.0,0.0,224771.0,0.0,,,,,,
Mid-Columbia Economic Development District,18,0,,,,,,,,,,,,,,,,,,,
"Mid-County Transit Authority, dba: Town and Country Transit",24,0,,,,,,,,,,,,,,,,,,,
Mid-Cumberland Human Resource Agency,210,0,1141280.0,5415.0,86.13,,,,,,,,,,,,,,,,
Mid-Delta Transit (MDT),46,0,,,,,,,,,,,,,,,,,,,
"Mid-Nebraska Community Action, dba: Reach Your Destination Easily",36,0,,,,,,,,,,,,,,,,,,,
Mid-Ohio Regional Planning Commission,19,321945,2253450.0,518.0,516.16,0.0,14986.0,0.0,0.0,0.0,0.0,0.0,0.0,14986.0,0.0,,,,,,
"Mid-Ohio Valley Transit Authority, dba: Easy Rider",26,0,39979.0,14.0,39.9,,,,,,,,,,,,,,,,
"Middle Kentucky River Area Development Council, Inc.",15,0,,,,,,,,,,,,,,,,,,,
Middletown Transit District,20,0,90320.0,193.0,535.93,,,,,,,,,,,,,,,,
Midland Area Agency,13,0,,,,,,,,,,,,,,,,,,,
"Midland County Board of Commissioners, dba: County Connection of Midland",22,0,83494.0,516.0,38.15,,,,,,,,,,,,,,,,
Midland-Odessa Urban Transit District,69,0,99940.0,37.0,86.0,,,,,,,,,,,,,,,,
Milford Transit District,22,458613,52759.0,24.0,397.29,54397.0,25533.0,0.0,0.0,0.0,0.0,0.0,0.0,79930.0,0.0,10107.0,Milford,CT,"Bridgeport--Stamford, CT--NY",,31.0
"Milwaukee County, dba: Milwaukee County Transit System",1119,20001968,943240.0,241.0,463.68,3256855.0,322007.0,0.0,0.0,0.0,0.0,0.0,0.0,3578862.0,0.0,,,,,,
"Mineral County Pioneer Council, Inc.",4,0,,,,,,,,,,,,,,,,,,,
Minnesota River Valley Transit,6,0,,,,,,,,,,,,,,,,,,,
Minnesota Valley Transit Authority,182,4954914,318976.0,139.0,1014.79,0.0,78848.0,0.0,0.0,803370.0,0.0,0.0,0.0,882218.0,0.0,,,,,,
"Mission Hill Link, Inc.",1,0,24237.0,10.0,1655.89,,,,,,,,,,,,,,,,
Mississippi Band of Choctaw Indians,15,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
"Mississippi County Transit System, Inc.",6,0,,,,,,,,,,,,,,,,,,,
Mississippi Valley State University Mass Transit,11,0,,,,,,,,,,,,,,,,,,,
Missoula Ravalli Transportation Management Association,15,0,,,,,,,,,,,,,,,,,,,
"Missoula Urban Transportation District, dba: Mountain Line",64,913079,73340.0,70.0,44.29,111490.0,28806.0,0.0,0.0,0.0,0.0,0.0,192074.0,140296.0,192074.0,80009.0,Missoula,MT,"Missoula, MT",,119.32
Mitchell County Transportation Authority,18,0,,,,,,,,,,,,,,,,,,,
Modoc Transportation Agency,6,0,,,,,,,,,,,,,,,,,,,
Monmouth County Division of Transportation,10,0,508932.0,222.0,3248.12,,,,,,,,,,,,,,,,
"Monongalia County Urban Mass Transit Authority, dba: Mountain Line Transit Authority",60,0,91576.0,293.0,40.7,,,,,,,,,,,,,,,,
Monroe County Public Transportation,8,0,,,,,,,,,,,,,,,,,,,
Monroe County Transportation  Authority,56,1225485,168327.0,610.0,0.0,34279.0,97411.0,0.0,39263.0,0.0,0.0,0.0,0.0,170953.0,0.0,30137.0,Swiftwater,PA,Pennsylvania Non-UZA,,71.0
Monroe Randolph Transit District,8,0,,,,,,,,,,,,,,,,,,,
Monsey New Square Trails Corporation,32,841455,286573.0,176.0,3248.12,288710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288710.0,0.0,20135.0,Spring Valley,NY,"New York--Jersey City--Newark, NY--NJ",,46.0
Montachusett Regional Transit Authority,1479,2675331,228778.0,624.0,52.93,85904.0,271415.0,0.0,0.0,0.0,0.0,0.0,0.0,357319.0,0.0,,,,,,
Monterey-Salinas Transit,264,4461598,437325.0,159.0,41.18,477661.0,261963.0,0.0,0.0,0.0,0.0,0.0,116074.0,739624.0,116074.0,90062.0,Monterey,CA,"Seaside--Monterey--Pacific Grove, CA",,228.0
"Montezuma County Public Transportation, dba: MoCo Public Transportation",6,0,,,,,,,,,,,,,,,,,,,
Montgomery County,10,0,,,,,,,,,,,,,,,,,,,
"Montgomery County, Maryland, dba: Ride On, Montgomery County Transit",576,14017563,1062061.0,495.0,1294.51,,,,,,,,,,,30051.0,Rockville,MD,"Washington--Arlington, DC--VA--MD",,
"Montrose County Seniors, dba: All Points Transit",42,0,,,,,,,,,,,,,,,,,,,
Moore County,20,0,,,47.56,,,,,,,,,,,,,,,,
Morgan County Transit,27,0,,,,,,,,,,,,,,,,,,,
Morongo Band of Mission Indians,2,0,,,0.0,,,,,,,,,,,,,,,,
Morongo Basin Transit Authority,39,0,,,,,,,,,,,,,,,,,,,
Morrill County Handi Bus,2,0,,,,,,,,,,,,,,,,,,,
Morris County Human Services,26,0,494976.0,482.0,3248.12,,,,,,,,,,,,,,,,
Morris County Transportation (formerly Morris Co Senior Citizens,4,0,,,,,,,,,,,,,,,,,,,
"Morris, City of",4,0,,,,,,,,,,,,,,,,,,,
Morrow County,9,0,,,,,,,,,,,,,,,,,,,
Morrow County Area Transit,20,0,,,,,,,,,,,,,,,,,,,
"Mount Zion Economic Community Center, Inc.",13,0,,,,,,,,,,,,,,,,,,,
"Mountain Area Regional Transit Authority, dba: Mountain Transit",87,0,,,,,,,,,,,,,,,,,,,
Mountain Empire Older Citizens Transit,35,0,,,,,,,,,,,,,,,,,,,
Mountain Express,11,0,,,,,,,,,,,,,,,,,,,
"Mountain Projects, Inc.",48,0,61862.0,546.0,248.58,,,,,,,,,,,,,,,,
Mountain Rides Transportation Authority,96,0,,,,,,,,,,,,,,,,,,,
Mountain Transit Authority,46,0,,,,,,,,,,,,,,,,,,,
"Ms Coast Transportation Authority, dba: Coast Transit Authority",204,2025969,124940.0,80.0,168.64,151257.0,40291.0,12247.0,0.0,0.0,0.0,0.0,8743.0,203795.0,8743.0,40014.0,Gulfport,MS,"Gulfport--Biloxi, MS",,102.0
Mt Si Senior Center,8,0,,,,,,,,,,,,,,,,,,,
Muckleshoot Indian Tribe,8,0,,,982.52,,,,,,,,,,,,,,,,
"Multi Community Diversified Services, Inc.",5,0,,,,,,,,,,,,,,,,,,,
Muncie Indiana Transit System,72,922230,70085.0,27.0,48.2,0.0,0.0,43584.0,0.0,139992.0,0.0,0.0,0.0,183576.0,0.0,50054.0,Muncie,IN,"Muncie, IN",,69.75
Municipality of Aguada,4,0,38118.0,10.0,187.32,,,,,,,,,,,,,,,,
"Municipality of Anchorage, dba: Public Transportation",504,4833875,291247.0,77.0,91.69,541551.0,234753.0,0.0,0.0,0.0,0.0,0.0,0.0,776304.0,0.0,12.0,Anchorage,AK,"Anchorage, AK",,211.0
Municipality of Arroyo,2,0,198.0,20.0,21.77,,,,,,,,,,,,,,,,
Municipality of Añasco,10,0,26161.0,39.0,187.32,,,,,,,,,,,,,,,,
Municipality of Barceloneta,20,0,24650.0,19.0,41.7,,,,,,,,,,,,,,,,
Municipality of Bayamon,24,0,65706.0,15.0,763.6,,,,,,,,,,,,,,,,
"Municipality of Caguas , dba: Autonomous Municipality of Caguas",46,0,127244.0,25.0,763.6,,,,,,,,,,,,,,,,
Municipality of Camuy,12,0,35159.0,46.0,75.49,,,,,,,,,,,,,,,,
Municipality of Carolina,52,0,176762.0,4.0,763.6,,,,,,,,,,,,,,,,
Municipality of Catano,4,0,27000.0,5.0,763.6,,,,,,,,,,,,,,,,
Municipality of Cayey,12,0,48594.0,40.0,763.6,,,,,,,,,,,,,,,,
Municipality of Ciales,1,0,16513.0,66.0,763.6,,,,,,,,,,,,,,,,
Municipality of Cidra,16,0,48761.0,36.0,763.6,,,,,,,,,,,,,,,,
Municipality of Coamo,12,0,,,,,,,,,,,,,,,,,,,
Municipality of Comerio,6,0,4368.0,28.0,763.6,,,,,,,,,,,,,,,,
Municipality of Dorado,27,0,38165.0,23.0,763.6,,,,,,,,,,,,,,,,
Municipality of Fajardo,8,0,36993.0,7.0,34.36,,,,,,,,,,,,,,,,
Municipality of Guaynabo,30,0,83728.0,27.0,763.6,,,,,,,,,,,,,,,,
Municipality of Gurabo,8,0,45369.0,43.0,763.6,,,,,,,,,,,,,,,,
Municipality of Hatillo,8,0,38486.0,42.0,75.49,,,,,,,,,,,,,,,,
Municipality of Hormigueros,10,0,15518.0,29.0,50.14,,,,,,,,,,,,,,,,
"Municipality of Humacao, dba: Sistema de Transporte Colectivo de Humacao",12,0,17603.0,10.0,763.6,,,,,,,,,,,,,,,,
Municipality of Jayuya,7,0,,,,,,,,,,,,,,,,,,,
Municipality of Juncos,14,0,38155.0,27.0,763.6,,,,,,,,,,,,,,,,
Municipality of Lares,16,0,30753.0,62.0,0.0,,,,,,,,,,,,,,,,
Municipality of Manati,12,0,16053.0,30.0,763.6,,,,,,,,,,,,,,,,
Municipality of Mayaguez,51,0,71264.0,52.0,50.14,,,,,,,,,,,,,,,,
Municipality of Orocovis,2,0,21434.0,64.0,763.6,,,,,,,,,,,,,,,,
Municipality of Patillas,8,0,,,,,,,,,,,,,,,,,,,
Municipality of San Lorenzo,18,0,35000.0,6.0,763.6,,,,,,,,,,,,,,,,
Municipality of San Sebastian,14,0,39345.0,71.0,187.32,,,,,,,,,,,,,,,,
Municipality of Toa Baja,12,0,75293.0,30.0,763.6,,,,,,,,,,,,,,,,
Municipality of Utuado,1,0,,,,,,,,,,,,,,,,,,,
Municipality of Vega Baja,16,0,54414.0,46.0,763.6,,,,,,,,,,,,,,,,
Municipality of Vieques,3,0,,,,,,,,,,,,,,,,,,,
Municipality of Yauco,44,0,37679.0,62.0,34.91,,,,,,,,,,,,,,,,
Murray-Calloway County Transit Authority,60,0,,,,,,,,,,,,,,,,,,,
Muscogee (Creek) Nation,38,0,,,0.0,,,,,,,,,,,,,,,,
Muskogee County Public Transit Authority,44,0,,,,,,,,,,,,,,,,,,,
N-Route,12,0,,,,,,,,,,,,,,,,,,,
"NW Arkansas Economical Development District, Inc. (NATS), dba: North Arkansas Transportation Service",62,0,,,,,,,,,,,,,,,,,,,
Nance Trans,4,0,,,,,,,,,,,,,,,,,,,
Nantucket Regional Transit Authority,30,0,,,,,,,,,,,,,,,,,,,
Napa Valley Transportation Authority,138,1515701,138000.0,45.0,20.35,203046.0,77977.0,0.0,35962.0,0.0,0.0,0.0,0.0,316985.0,0.0,,,,,,
Nassau Council on Aging,38,0,393807.0,227.0,50.55,,,,,,,,,,,,,,,,
Natchez Transit System,17,0,,,,,,,,,,,,,,,,,,,
National Capital Region Transportation Planning Board,8,0,9417146.0,4720.0,1294.51,,,,,,,,,,,,,,,,
Native Village of Noatak,1,0,,,0.0,,,,,,,,,,,,,,,,
Native Village of Unalakleet,1,0,,,0.0,,,,,,,,,,,,,,,,
Navajo Nation,18,0,,,0.0,,,,,,,,,,,,,,,,
Nebraska Department of Transportation,47,979428,777341.0,252.0,270.81,0.0,46868.0,0.0,0.0,0.0,0.0,0.0,0.0,46868.0,0.0,,,,,,
"Neighbor to Neighbor Volunteers, dba: The Chaffee Shuttle",7,0,,,,,,,,,,,,,,,,,,,
Nemaha County Transit,7,0,,,,,,,,,,,,,,,,,,,
Nevada County Transit Services,34,0,,,,,,,,,,,,,,,,,,,
New Bourbon Regional Port Authority,1,0,,,,,,,,,,,,,,,,,,,
New Castle Area Transit Authority,138,0,80508.0,60.0,,,,,,,,,,,,,,,,,
New Jersey Transit Corporation,26312,187806013,10594013.0,5325.0,3248.12,35585247.0,1805901.0,0.0,1257636.0,0.0,0.0,380816628.0,0.0,38648784.0,380816628.0,20080.0,Newark,NJ,"New York--Jersey City--Newark, NY--NJ",,
New Mexico Department of Transportation,50,1755177,1879815.0,1520.0,64.47,0.0,71200.0,0.0,0.0,0.0,0.0,0.0,0.0,71200.0,0.0,,,,,,
New Orleans Regional Transit Authority,644,8285971,390144.0,75.0,270.27,134850.0,179356.0,0.0,0.0,1527165.0,0.0,2880880.0,0.0,1841371.0,2880880.0,60032.0,New Orleans,LA,"New Orleans, LA",,810.99
New River Transit Authority,30,0,62637.0,38.0,53.64,,,,,,,,,,,,,,,,
New York City Department of Transportation,26,299899,8804190.0,372.0,3248.12,4840205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4840205.0,0.0,20082.0,New York,NY,"New York--Jersey City--Newark, NY--NJ",,606.0
New York City Economic Development Corporation,56,1164315,576545.0,13.0,3248.12,3874929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3874929.0,0.0,,,,,,
Newberry County Council on Aging,19,0,,,,,,,,,,,,,,,,,,,
Newburgh Beacon Bus Corporation,7,0,249175.0,132.0,209.92,,,,,,,,,,,,,,,,
Nez Perce Tribe,8,0,,,0.0,,,,,,,,,,,,,,,,
Niagara Frontier Transportation Authority,882,11566528,809275.0,336.0,340.5,,,,,,,,,,,20004.0,Buffalo,NY,"Buffalo, NY",,938.19
Ninilchik Village,3,0,,,0.0,,,,,,,,,,,,,,,,
"Noble County Council on Aging , dba: Noble Transit System",11,0,,,,,,,,,,,,,,,,,,,
Noorvik Native Community,1,0,,,0.0,,,,,,,,,,,,,,,,
North Carolina Department of Transportation -- Ferry Division,17,0,,,,,,,,,,,,,,,,,,,
North Carolina State University,30,557177,46000.0,9.0,554.82,148388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148388.0,0.0,,,,,,
"North Central Alabama Regional Council of Governments, dba: NARCOG Regional Transit Agency",28,361343,152680.0,1316.0,43.47,0.0,33458.0,0.0,0.0,0.0,0.0,0.0,0.0,33458.0,0.0,40265.0,Decatur,AL,"Decatur, AL",,36.0
North Central Regional Transit District,40,0,289292.0,10119.0,46.8,,,,,,,,,,,,,,,,
North County Transit District,1386,9205294,1043734.0,340.0,674.72,1280613.0,127190.0,0.0,1533737.0,41594.0,0.0,0.0,0.0,2983134.0,0.0,90030.0,Oceanside,CA,"San Diego, CA",,141.41
North Fork Rancheria of Mono Indians of California,2,0,,,0.0,,,,,,,,,,,,,,,,
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo",32,368136,143986.0,56.0,117.98,0.0,17333.0,0.0,0.0,0.0,0.0,0.0,0.0,17333.0,0.0,80106.0,Fort Collins,CO,"Fort Collins, CO",,4.0
"North Georgia Community Action, Inc.",27,0,,,,,,,,,,,,,,,,,,,
North Iowa Area Council of Governments,54,0,,,,,,,,,,,,,,,,,,,
"North Township of Lake County , dba: Dial-A-Ride",7,0,170200.0,527.0,2337.89,,,,,,,,,,,,,,,,
"Northeast Colorado Association of Local Governments, dba: County Express",102,0,,,,,,,,,,,,,,,,,,,
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",1778,39319881,7261176.0,1940.0,2337.89,23872392.0,0.0,0.0,0.0,0.0,0.0,62373926.0,0.0,23872392.0,62373926.0,50118.0,Chicago,IL,"Chicago, IL--IN",,
Northeast Iowa Community Action Corporation,23,0,,,,,,,,,,,,,,,,,,,
Northeast KY Area Development Council,28,0,,,,,,,,,,,,,,,,,,,
Northeast Kansas Area Agency on Aging,5,0,,,,,,,,,,,,,,,,,,,
Northeast Mississippi Community Services,43,0,,,,,,,,,,,,,,,,,,,
Northeastern Connecticut Transit District,20,0,,,,,,,,,,,,,,,,,,,
"Northern Arizona Intergovernmental Public Transportation Authority, dba: Mountain Line public transit",87,1102475,71917.0,29.0,29.26,,,,,,,,,,,90219.0,Flagstaff,AZ,"Flagstaff, AZ",,83.8
Northern Cheyenne Tribe,2,0,,,0.0,,,,,,,,,,,,,,,,
Northern Indiana Commuter Transportation District,70,2727755,958644.0,1970.0,2337.89,0.0,0.0,0.0,0.0,0.0,0.0,13144250.0,0.0,0.0,13144250.0,50104.0,Chesterton,IN,"Chicago, IL--IN",,409.5
Northern New England Passenger Rail Authority,21,2585690,1431087.0,3706.0,123.88,,,,,,,,,,,,,,,,
Northern Oklahoma Development Authority,36,0,,,,,,,,,,,,,,,,,,,
Northwest Alabama Council of Local Governments,56,377597,235785.0,3365.0,54.63,,,,,,,,,,,40068.0,Muscle Shoals,AL,"Florence, AL",,30.0
Northwest Tennessee Human Resource Agency,45,0,,,,,,,,,,,,,,,,,,,
Northwestern CT Transit District,32,0,,,516.25,,,,,,,,,,,,,,,,
Norton County Senior Citizens,2,0,,,,,,,,,,,,,,,,,,,
Norwalk Transit District,171,1333192,118325.0,45.0,397.29,159833.0,94799.0,0.0,0.0,0.0,0.0,0.0,0.0,254632.0,0.0,10057.0,Norwalk,CT,"Bridgeport--Stamford, CT--NY",,136.54
Noxubee County Human Resource Agency,9,0,,,,,,,,,,,,,,,,,,,
Nutrition United,5,0,,,,,,,,,,,,,,,,,,,
Nye County Senior Nutrition,9,0,27335.0,3484.0,,,,,,,,,,,,,,,,,
"OATS, Inc.",743,0,,,923.64,,,,,,,,,,,,,,,,
"OCCK, Inc.",106,0,,,,,,,,,,,,,,,,,,,
OSU-Stillwater Community Transit,36,0,,,,,,,,,,,,,,,,,,,
"Oakland Heights, dba: Oakland Public Transit",3,0,,,,,,,,,,,,,,,,,,,
Ogallala Transit System,3,0,,,,,,,,,,,,,,,,,,,
Ogemaw County Public Transportation,12,0,,,,,,,,,,,,,,,,,,,
Oglala Sioux Tribe,6,0,34044.0,4400.0,0.0,,,,,,,,,,,,,,,,
Ohio Valley Regional Transportation Authority,34,794307,57416.0,27.0,36.81,127628.0,23992.0,0.0,0.0,0.0,0.0,0.0,0.0,151620.0,0.0,30035.0,Wheeling,WV,"Wheeling, WV--OH",,47.0
Ohkay Owingeh Pueblo,6,0,,,0.0,,,,,,,,,,,,,,,,
"Okaloosa County Board of County Commissioners, dba: Emerald Coast Rider",84,939375,196512.0,120.0,119.62,1863.0,101066.0,0.0,0.0,0.0,0.0,0.0,0.0,102929.0,0.0,,,,,,
Okanogan County Transportation & Nutrition,22,0,,,,,,,,,,,,,,,,,,,
Okanogan Transit,26,0,,,,,,,,,,,,,,,,,,,
"Olympia Trails Bus Company, Inc.",15,0,16953.0,27.0,3248.12,,,,,,,,,,,,,,,,
Omaha Tribe Public Transit,7,0,,,0.0,,,,,,,,,,,,,,,,
Omnitrans,429,8187866,1540644.0,466.0,608.56,,,,,,,,,,,90029.0,San Bernardino,CA,"Riverside--San Bernardino, CA",,482.0
Oneida Tribe of Indians of Wisconsin,9,0,,,0.0,,,,,,,,,,,,,,,,
"Oneida-Vilas Transit Commission, dba: Northwoods Transit Connections",16,0,,,,,,,,,,,,,,,,,,,
Onslow United Transit System,20,0,190187.0,795.0,75.65,,,,,,,,,,,,,,,,
Ontonagon County Public Transit,5,0,,,,,,,,,,,,,,,,,,,
"Opportunity Enterprises, Inc.",15,0,160105.0,590.0,2337.89,,,,,,,,,,,,,,,,
Opportunity Link,7,0,426230.0,149.0,,,,,,,,,,,,,,,,,
Orange County,24,0,166160.0,62.0,209.92,,,,,,,,,,,,,,,,
"Orange County , dba: Orange County Public Transportation",36,0,148884.0,401.0,183.36,,,,,,,,,,,,,,,,
"Orange County First Chance Center , dba: Orange County Transit",5,0,,,,,,,,,,,,,,,,,,,
Orange County Transportation Authority,4434,27727155,2943596.0,435.0,1636.83,0.0,1139493.0,0.0,6050962.0,0.0,0.0,0.0,27519.0,7190455.0,27519.0,90036.0,Orange,CA,"Los Angeles--Long Beach--Anaheim, CA",,997.37
"Orange-Newark-Elizabeth, Inc.",34,894936,520687.0,31.0,3248.12,221969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221969.0,0.0,20166.0,Elizabeth,NJ,"New York--Jersey City--Newark, NY--NJ",,69.5
Orleans Transit Service,6,0,,,,,,,,,,,,,,,,,,,
Osage County Council on Aging,6,0,,,,,,,,,,,,,,,,,,,
Oswego County,16,0,,,,,,,,,,,,,,,,,,,
Otsego County,8,0,,,,,,,,,,,,,,,,,,,
Otsego County Board of Commissioners,14,0,,,,,,,,,,,,,,,,,,,
Ottawa County Transportation,4,0,,,,,,,,,,,,,,,,,,,
Ottawa County Transportation Agency,20,0,,,,,,,,,,,,,,,,,,,
Owen County Fiscal Court,13,0,,,,,,,,,,,,,,,,,,,
Ozark Regional Transit,38,0,467570.0,3253.0,198.27,,,,,,,,,,,,,,,,
"Ozaukee County , dba: Ozaukee County Transit Services",62,1215034,91503.0,235.0,463.68,27900.0,66304.0,0.0,0.0,0.0,0.0,0.0,0.0,94204.0,0.0,,,,,,
Pace - Suburban Bus Division,7084,31986562,5666540.0,3519.0,2337.89,4099995.0,712338.0,0.0,1198877.0,18032.0,0.0,0.0,0.0,6029242.0,0.0,50113.0,Arlington Heights,IL,"Chicago, IL--IN",,
"Pace-Suburban Bus Division, ADA Paratransit Services",3045,22251099,6603537.0,1337.0,2337.89,393.0,2385210.0,0.0,0.0,0.0,0.0,0.0,0.0,2385603.0,0.0,,,,,,
Pacific Transit,20,0,,,,,,,,,,,,,,,,,,,
Paducah Transit Authority,120,0,,,41.41,,,,,,,,,,,,,,,,
"Pahrump Senior Center, Inc.",12,0,,,,,,,,,,,,,,,,,,,
Palo Verde Valley Transit Agency,20,0,,,,,,,,,,,,,,,,,,,
Palos Verdes Peninsula Transit Authority,54,0,64272.0,22.0,1636.83,,,,,,,,,,,,,,,,
Panhandle Community Services,82,0,153937.0,1855.0,83.99,,,,,,,,,,,,,,,,
"Paola Senior Citizen Center, Inc.",2,0,,,,,,,,,,,,,,,,,,,
"Paratransit, Inc.",18,372689,1597759.0,208.0,467.58,0.0,723.0,0.0,56575.0,0.0,0.0,0.0,0.0,57298.0,0.0,90223.0,Sacramento,CA,"Sacramento, CA",,29.98
Park City Municipal Corporation,42,0,,,,,,,,,,,,,,,,,,,
Park County Windrider Transit,2,0,,,,,,,,,,,,,,,,,,,
"Pasco County Board of County Commissioners, dba: Pasco County Public Transportation",84,2051371,584067.0,747.0,968.94,313567.0,72142.0,0.0,0.0,0.0,0.0,0.0,0.0,385709.0,0.0,40074.0,New Port Richey,FL,"Tampa--St. Petersburg, FL",,127.88
Paul Bunyan Transit,22,0,,,,,,,,,,,,,,,,,,,
"Paul Philippe Resource Center  , dba: Clinton County Transit",7,0,,,,,,,,,,,,,,,,,,,
Paulding County,7,0,,,,,,,,,,,,,,,,,,,
Payson Senior Center,2,0,,,,,,,,,,,,,,,,,,,
Peach County Transit,2,0,,,,,,,,,,,,,,,,,,,
Pee Dee Regional Transportation Authority,58,0,335620.0,3563.0,68.04,,,,,,,,,,,,,,,,
Pembina County Meals and Transportation,5,0,,,,,,,,,,,,,,,,,,,
"Pender Adult Services, Inc.",8,0,,,,,,,,,,,,,,,,,,,
"Peninsula Corridor Joint Powers Board, dba: Caltrain",85,7141752,3632769.0,425.0,513.8,4118068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4118068.0,0.0,,,,,,
Pennsylvania Department of Transportation,20,1606581,3371466.0,2092.0,1898.19,0.0,0.0,0.0,0.0,0.0,0.0,13608394.0,0.0,0.0,13608394.0,,,,,,
"Pennyrile Allied Community Services, Inc.",204,0,,,,,,,,,,,,,,,,,,,
Penquis Community Action Program,99,0,171467.0,7935.0,51.12,,,,,,,,,,,,,,,,
People for People Moses Lake,52,0,,,,,,,,,,,,,,,,,,,
People for People Yakima,51,0,,,55.77,,,,,,,,,,,,,,,,
People's Transit,14,0,,,,,,,,,,,,,,,,,,,
Peoples Express,41,0,,,,,,,,,,,,,,,,,,,
Perkins County Public Transit,2,0,,,,,,,,,,,,,,,,,,,
Perry County Transit,24,0,,,,,,,,,,,,,,,,,,,
Person County,30,0,,,,,,,,,,,,,,,,,,,
Peter Pan Bus Lines,8,0,5047998.0,2099.0,1655.89,,,,,,,,,,,,,,,,
Petersburg Indian Association,1,0,,,0.0,,,,,,,,,,,,,,,,
Phelps County Senior Citizen,2,0,,,,,,,,,,,,,,,,,,,
Philadelphia Transit,3,0,,,,,,,,,,,,,,,,,,,
Phillips Transit Authority,7,0,,,,,,,,,,,,,,,,,,,
Piatt County,11,0,,,,,,,,,,,,,,,,,,,
Pickaway Area Rural Transit,24,0,,,,,,,,,,,,,,,,,,,
Piedmont Authority for Regional Transportation,88,2140469,1705315.0,2500.0,169.31,183861.0,79146.0,0.0,0.0,0.0,0.0,0.0,0.0,263007.0,0.0,40173.0,Greensboro,NC,"Greensboro, NC",,3.25
Pierce County Transportation Benefit Area Authority,1910,9841274,575963.0,292.0,982.52,87965.0,460066.0,0.0,1086738.0,0.0,0.0,0.0,236326.0,1634769.0,236326.0,3.0,Lakewood,WA,"Seattle--Tacoma, WA",,529.55
Pigeon Forge Mass Transit,32,0,,,,,,,,,,,,,,,,,,,
Pike Area Transit System,7,0,,,,,,,,,,,,,,,,,,,
Pike County,17,0,,,,,,,,,,,,,,,,,,,
Pike County/Community Action Transit System,22,0,,,,,,,,,,,,,,,,,,,
Pima Association of Governments,13,229218,1043433.0,9189.0,357.35,0.0,9357.0,0.0,0.0,0.0,0.0,0.0,0.0,9357.0,0.0,,,,,,
